39,0
201,0
237,0
267,0
279,0
327,0
365,0
377,0
467,0
492,0
519,1
526,1
529,1
700,1
754,1
861,1
948,1
978,1
1158,1
1160,1
1268,2
1274,2
1428,2
1555,2
1604,2
1716,2
1736,2
2236,2
2519,2
2550,2
2642,3
2707,3
2784,3
3030,3
3068,3
3172,3
3680,3
3921,3
4155,3
4315,3
4315,4
4415,4
4695,4
5428,4
5674,4
7353,4
7603,4
7841,4
9085,4
9284,4
9480,5
9561,5
9792,5
9968,5
10662,5
10950,5
11234,5
13220,5
13392,5
14844,5
15106,6
18042,6
18185,6
18556,6
18912,6
19365,6
19378,6
21559,6
21581,6
23417,6
23970,7
25461,7
25803,7
25899,7
30079,7
31644,7
31873,7
36845,7
40991,7
43972,7
50089,8
57950,8
59416,8
59680,8
60615,8
63678,8
67513,8
68304,8
114850,8
129429,8
132984,9
172760,9
173248,9
191231,9
195086,9
358861,9
577612,9
719981,9
757999,9
3588403,9
